,name,link,price,area,valueperm2,Quartos,Suítes,Garagens,Condomínio R$,Cidade,IPTU R$,Total de Andar do Empreendimento,Área Total,Nome do Edifício,Área Terreno,Aceita Permuta,Posição do Sol,Posição do Imóvel,Andar do Apartamento,Unidades no Andar,Aceita Financiamento
41,SQNW 311 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-311-bloco-b-100459,4.200,"86,51",48,2,1,1,598,BRASÍLIA - NOROESTE,2.209,,,,,,,,,,
42,SMAS Trecho 1 C,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-smas-trecho-1-c-573064,7.000,"100,00",70,3,1,2,1.200,BRASÍLIA - PARK SUL,,9 Andares,,,,,,,,,
43,CA 02,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-530586,680,"28,00",24,1,,,305,BRASÍLIA - LAGO NORTE,170,5 Andares,,,,,,,,,
44,SQNW 108 Bloco I   - Jardins Bela Vista,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-108-bloco-i-119060,4.200,"81,00",51,2,1,2,968,BRASÍLIA - NOROESTE,2.517,4 Andares,,Jardins Bela Vista,,,Perpendicular,,3° Andar,,
45,SQNW 307,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-307-598544,6.800,"100,00",68,2,2,2,830,BRASÍLIA - NOROESTE,,6 Andares,,,,,,,,,
46,SQSW 101 Bloco G Edifício Porto Príncipe,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-101-bloco-g-597429,5.500,"91,00",60,3,1,1,1.046,BRASÍLIA - SUDOESTE,182,6 Andares,,,,,,,5° Andar,,
47,SMAS Trecho 1 C,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-park-sul-brasilia-df-smas-trecho-1-c-430221,15.000,"211,00",71,4,3,4,1.931,BRASÍLIA - PARK SUL,,9 Andares,"211,00 m²",,,,,,,,
48,AOS 04 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-octogonal-brasilia-df-aos-04-bloco-c-576015,3.200,"75,00",42,3,,1,700,BRASÍLIA - OCTOGONAL,,6 Andares,,,,,,,,,
49,SQS 115,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-115-442299,5.250,"150,00",35,2,2,1,1.600,BRASÍLIA - ASA SUL,,,"150,00 m²",,,,,,,,
50,SQSW 504 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-504-bloco-b-208634,5.500,"95,00",57,3,1,1,880,BRASÍLIA - SUDOESTE,188,,"95,00 m²",,,,,,,,
51,SQN 310 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-310-bloco-i-268101,4.850,"180,00",26,3,1,1,814,BRASÍLIA - ASA NORTE,166,6 Andares,"180,00 m²",,,,,,,,
52,SGAN 914,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-914-50038,900,"29,00",31,1,,,277,BRASÍLIA - ASA NORTE,138,2 Andares,,,,,,,,,
53,SQS 311 Bloco K,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-311-bloco-k-587115,4.450,"126,00",35,3,1,,1.040,BRASÍLIA - ASA SUL,,,"126,00 m²",,,,,,,,
54,SQNW 102,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-102-568809,17.000,"160,00",106,3,3,3,1.800,BRASÍLIA - NOROESTE,,,"160,00 m²",,,,,,,,Sim
55,SQN 105 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-105-bloco-b-600443,4.500,"111,72",40,3,1,1,1.022,BRASÍLIA - ASA NORTE,,,"177,17 m²",,,,,,,,
56,SMAS Trecho 1 C   - Living,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-park-sul-brasilia-df-smas-trecho-1-c-596797,8.200,"145,00",56,4,2,3,,BRASÍLIA - PARK SUL,,,,Living,,,,,,,
57,SQS 204,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-204-567332,3.600,"120,00",30,3,1,1,1.150,BRASÍLIA - ASA SUL,225,,"120,00 m²",,,,,,,,
58,QMSW 4 Lote 4,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-4-lote-4-515555,1.200,"30,00",40,1,,1,344,BRASÍLIA - SUDOESTE,723,,"52,00 m²",,,,,,,,
59,SGAN 911,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-911-568861,1.050,"31,00",33,1,1,1,324,BRASÍLIA - ASA NORTE,630,,,,,,,,,,
60,SHS Quadra 6,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-shs-quadra-6-55643,2.065,"41,00",50,1,1,,1.700,BRASÍLIA - ASA SUL,,19 Andares,,,,,,,4° Andar,,
61,CA 09   - SAN GIOVANNI,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-lago-norte-brasilia-df-ca-09-305478,1.800,"70,00",25,1,1,1,886,BRASÍLIA - LAGO NORTE,1.057,3 Andares,,SAN GIOVANNI,,,Perpendicular,Lateral,2° Andar,,
62,SQN 404,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-404-121559,2.800,"70,00",40,3,,,500,BRASÍLIA - ASA NORTE,78,,,,,,,,,,
63,SQSW 100 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-100-bloco-g-553865,8.500,"200,00",42,3,2,2,1.450,BRASÍLIA - SUDOESTE,,,,,,,,,,,
64,"SHN Quadra 05 Bloco I Mercure rReforma Total, Mobilia completa, nasc. Vista livre",https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shn-quadra-05-bloco-i-553096,4.600,"50,00",92,1,1,,,BRASÍLIA - ASA NORTE,,,,,,,Nascente,Frente,9° Andar,,
65,SQN 215,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-215-522363,3.500,"117,00",29,3,1,1,914,BRASÍLIA - ASA NORTE,1.920,,"117,00 m²",,,,,,,,
66,CCSW 2 Lote 4 LÍnea Studio Home,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-ccsw-2-lote-4-513267,3.000,"57,44",52,2,,1,950,BRASÍLIA - SUDOESTE,,5 Andares,"110,65 m²",,"3.593,01 m²",,Nascente,Lateral,3° Andar,,
